,UNITID,X,X.2,X.1,OPEID,opeid6,INSTNM,CITY,STABBR,INSTURL,NPCURL,HCM2,PREDDEG,CONTROL,LOCALE,HBCU,PBI,ANNHI,TRIBAL,AANAPII,HSI,NANTI,MENONLY,WOMENONLY,RELAFFIL,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,SATVRMID,SATMTMID,SATWRMID,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75,ACTWR25,ACTWR75,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,SAT_AVG_ALL,PCIP01,PCIP03,PCIP04,PCIP05,PCIP09,PCIP10,PCIP11,PCIP12,PCIP13,PCIP14,PCIP15,PCIP16,PCIP19,PCIP22,PCIP23,PCIP24,PCIP25,PCIP26,PCIP27,PCIP29,PCIP30,PCIP31,PCIP38,PCIP39,PCIP40,PCIP41,PCIP42,PCIP43,PCIP44,PCIP45,PCIP46,PCIP47,PCIP48,PCIP49,PCIP50,PCIP51,PCIP52,PCIP54,DISTANCEONLY,UGDS.y,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN,PPTUG_EF,CURROPER,NPT4_PUB,NPT4_PRIV,NPT41_PUB,NPT42_PUB,NPT43_PUB,NPT44_PUB,NPT45_PUB,NPT41_PRIV,NPT42_PRIV,NPT43_PRIV,NPT44_PRIV,NPT45_PRIV,PCTPELL,RET_FT4,RET_FTL4,RET_PT4,RET_PTL4,PCTFLOAN,UG25abv,GRAD_DEBT_MDN_SUPP,GRAD_DEBT_MDN10YR_SUPP,RPY_3YR_RT_SUPP,C150_4_POOLED_SUPP,C200_L4_POOLED_SUPP,md_earn_wne_p10,gt_25k_p6,Institution.Name,INSTSIZE..HD2010.,RET_PCF..EF2010D.,GRRTTOT..DRVGR2010.,GRRTM..DRVGR2010.,GRRTW..DRVGR2010.,F1TUFEFT..DRVF2010.,F1STAPFT..DRVF2010.,F1LCAPFT..DRVF2010.,F1PGGCFT..DRVF2010.,F2TUFEFT..DRVF2010.,F2PGGCFT..DRVF2010.,F1INSTPC..DRVF2010.,F1ACSPPC..DRVF2010.,F1STSVPC..DRVF2010.,F1INSUPC..DRVF2010.,F2INSTPC..DRVF2010.,F2ACSPPC..DRVF2010.,F2STSVPC..DRVF2010.,F1ENDMFT..DRVF2010.,F2ENDMFT..DRVF2010.,ENDOW,ExpIn,GiftRev,TotalRev,Rating,HIGHDEG
7,100760,7,7,7,100700,1007,Central Alabama Community College,Alexander City,AL,www.cacc.edu,www.cacc.edu/graphics/netpricecalculator/npcalc.htm,0,2,1,32,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.0186,0,0,0,0.0669,0,0,0,0,0.4833,0,0,0,0,0.0372,0,0,0,0,0,0,0,0,0,0,0.0558,0.0297,0,0,0.2045,0.1041,0,0,1779,0.6785,0.2945,0.0118,0.0022,0.0022,0.0011,0.0006,0.0011,0.0079,0.466,1,6407,NA,6330,6032,7802,10512,NA,NA,NA,NA,NA,NA,0.6515,NA,0.4267,NA,0.4159,0.4777,0.3153,NA,NA,0.438401776,NA,0.289189362,27100,0.446135819,Central Alabama Community College,2,60,19,16,21,1584,3824,0,8,NA,NA,43,4,9,10,NA,NA,NA,89,NA,89,43,8,5416,0.8614335394,2
8,100812,8,8,8,100800,1008,Athens State University,Athens,AL,www.athens.edu,24.athens.edu/apex/prod8/f?p=174:1:3941357449598491,0,3,1,31,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.0386,0,0.2404,0,0,0,0,0,0.0441,0.054,0,0.0243,0.0408,0,0.0221,0.0121,0.0077,0,0.0011,0,0.0276,0.032,0,0.0221,0,0,0,0,0.0099,0.0066,0.4112,0.0055,0,2999,0.7513,0.1064,0.0213,0.0047,0.019,0.0007,0.0133,0.007,0.0764,0.5502,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4107,NA,NA,NA,NA,0.6277,0.641,18832,209.0738056,0.767649075,NA,NA,39700,0.652219892,Athens State University,2,NA,NA,NA,NA,4072,3710,0,18,NA,NA,53,9,9,16,NA,NA,NA,615,NA,615,53,18,7800,0.6958341857,3
12,101028,12,12,12,1218200,12182,Chattahoochee Valley Community College,Phenix City,AL,www.cv.edu,external.cv.edu/npc/npcalc.htm,0,2,1,41,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.0205,0,0,0,0,0,0,0,0,0.3846,0,0,0,0,0,0,0,0,0,0,0,0.1077,0,0,0,0,0,0,0.0103,0.3744,0.1026,0,0,1769,0.4675,0.4409,0.0379,0.0136,0.0034,0.0028,0.0107,0,0.0232,0.4059,1,1873,NA,1110,2223,3296,6215,5940,NA,NA,NA,NA,NA,0.6116,NA,0.5165,NA,0.3293,0.1948,0.3876,7000,77.71435,0.528708134,NA,0.239854244,27700,0.428770959,Chattahoochee Valley Community College,2,57,14,10,17,1314,3536,0,75,NA,NA,45,4,14,14,NA,NA,NA,34,NA,34,45,75,4925,0.6794356661,2
13,101073,13,13,13,1055400,10554,Concordia College Alabama,Selma,AL,www.ccal.edu/,www.ccal.edu/netprice/netprice/,0,3,2,32,1,0,0,0,0,0,0,0,0,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0.3457,0,0,0,0,0,0,0.4815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1728,0,0,523,0.0115,0.9388,0.0134,0.0038,0,0,0,0.0325,0,0.0631,1,NA,12686,NA,NA,NA,NA,NA,11727,12333,15293,17505,NA,0.8363,0.4103,NA,0,NA,0.91,0.2367,26500,294.204325,0.254125413,0.134843721,NA,21300,0.287206262,Concordia College Alabama,1,45,4,2,7,NA,NA,NA,NA,5581,3393,NA,NA,NA,NA,47,5,14,NA,3996,3996,47,3393,8974,0.7618935073,3
15,101143,15,15,15,101500,1015,Enterprise State Community College,Enterprise,AL,www.escc.edu,www.escc.edu/NetPrice/npcalc.htm,0,2,1,32,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.0085,0,0,0,0,0,0.0085,0.0021,0,0.1855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7249,0,0,0,0.0171,0.0533,0,0,1984,0.6411,0.2661,0.0444,0.0166,0.0055,0.0015,0.0176,0.0015,0.0055,0.3538,1,5048,NA,4486,4699,7476,9713,10060,NA,NA,NA,NA,NA,0.5121,NA,0.5411,NA,0.45,0.2673,0.3399,11073,122.9329997,0.554301834,NA,0.338283629,26300,0.489614248,Enterprise State Community College,2,60,32,33,31,1891,3066,0,0,NA,NA,41,4,11,18,NA,NA,NA,NA,NA,NA,41,NA,4957,0.6844680754,2
16,101161,16,16,16,106000,1060,James H Faulkner State Community College,Bay Minette,AL,www.faulknerstate.edu,www.faulknerstate.edu,0,2,1,32,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0085,0,0,0,0,0,0.0449,0,0,0,0.0043,0,0,0.0128,0,0.4637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015,0.015,0,0.015,0.3162,0.1047,0,0,4182,0.7104,0.2176,0.0263,0.0072,0.0187,0.0012,0.0163,0.0007,0.0017,0.3867,1,7404,NA,6474,6901,9452,10286,10846,NA,NA,NA,NA,NA,0.4885,NA,0.5211,NA,0.3981,0.4042,0.2909,9153,101.6170637,0.590852905,NA,0.164098246,28900,0.433466137,James H Faulkner State Community College,2,47,16,13,18,2072,2474,292,1,NA,NA,50,11,11,11,NA,NA,NA,NA,NA,NA,50,1,4839,0.6817809747,2
18,101240,18,18,18,101700,1017,Gadsden State Community College,Gadsden,AL,www.gadsdenstate.edu,www.gadsdenstate.edu/netpricecalculator/,0,2,1,13,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0069,0,0,0,0.0057,0,0.0069,0.0631,0,0,0.1239,0,0.0183,0.0298,0,0.195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0218,0.1009,0.0722,0,0,0.2878,0.0677,0,0,5480,0.6792,0.21,0.0261,0.0055,0.0075,0.0015,0.019,0.0135,0.0378,0.4345,1,4565,NA,4516,4872,6147,5143,NA,NA,NA,NA,NA,NA,0.6,NA,0.5589,NA,0.3865,0,0.3733,NA,NA,NA,NA,0.210752778,26900,0.38632378,Gadsden State Community College,3,55,20,23,16,1109,3837,0,23,NA,NA,46,7,13,15,NA,NA,NA,404,NA,404,46,23,4969,0.8612221781,2
19,101286,19,19,19,101800,1018,George C Wallace State Community College-Dothan,Dothan,AL,www.wallace.edu,www.wallace.edu/net_price_calculator.aspx,0,2,1,41,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.0081,0.0477,0,0,0.0862,0,0.0467,0,0,0.2069,0,0,0,0,0,0,0,0,0,0.0203,0,0.0101,0,0,0.0568,0.0294,0.0477,0,0,0.4118,0.0284,0,0,4293,0.6306,0.3196,0.024,0.0058,0.0051,0.0019,0.0128,0,0.0002,0.4675,1,2681,NA,2386,3243,5046,NA,2590,NA,NA,NA,NA,NA,0.5548,NA,0.5597,NA,0.4627,0,0.392,NA,NA,NA,NA,0.260445321,27100,0.405150205,George C Wallace State Community College-Dothan,2,57,18,19,17,1480,3625,0,8,NA,NA,51,5,11,14,NA,NA,NA,25,NA,25,51,8,5113,0.8625157783,2
20,101295,20,20,20,787100,7871,George C Wallace State Community College-Hanceville,Hanceville,AL,www.wallacestate.edu,www.wallacestate.edu/Financial-Aid/Net-Price-Calculator/index,0,2,1,32,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0011,0,0,0,0,0,0.013,0.0346,0,0,0.0281,0,0.0141,0.0119,0,0.2162,0,0,0,0,0,0,0,0,0,0,0,0.0249,0,0,0,0.0714,0.0324,0.0022,0.013,0.5005,0.0368,0,0,4904,0.875,0.0593,0.0273,0.0043,0.0075,0.0002,0,0.0069,0.0194,0.4052,1,6628,NA,6299,6229,8750,9756,8657,NA,NA,NA,NA,NA,0.5017,NA,0.6368,NA,0.5414,0.4174,0.3229,11330,125.7862265,0.606629393,NA,0.310233833,27800,0.512655079,George C Wallace State Community College-Hanceville,3,61,31,29,32,1464,2633,0,0,NA,NA,43,8,11,9,NA,NA,NA,NA,NA,NA,43,NA,4097,0.6801807889,2
21,101301,21,21,21,569900,5699,George C Wallace State Community College-Selma,Selma,AL,www.wccs.edu,www.wccs.edu/index.php?page=npc.html,0,2,1,32,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0.0147,0.059,0,0,0.0221,0,0,0,0,0.3292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1057,0.0147,0.0811,0,0,0.2703,0.1032,0,0,1604,0.2163,0.7594,0.0062,0.0069,0.0037,0.0019,0.0044,0.0006,0.0006,0.3348,1,8712,NA,8692,8220,11810,NA,NA,NA,NA,NA,NA,NA,0.7687,NA,0.5312,NA,0.2727,0,0.3318,NA,NA,NA,NA,0.280347196,24400,0.363136172,George C Wallace State Community College-Selma,2,44,28,26,29,986,4308,0,26,NA,NA,36,5,15,16,NA,NA,NA,NA,NA,NA,36,26,5320,0.863450237,2
