UNITID,Rating
Wellesley College,0.0064384192686096
Haverford College,0.0166018319811865
Barnard College,0.0193885838172142
Davidson College,0.0282850886134773
Hamilton College,0.0335211719776745
Bates College,0.0518862823621735
Pomona College,0.0531967082044489
Colby College,0.0659854508650878
Bowdoin College,0.0731297299389664
Dickinson College,0.0797371175099978
Swarthmore College,0.0945743255382298
Vassar College,0.0969450457464217
Gettysburg College,0.0994918631888772
Lafayette College,0.100235659277486
Helene Fuld College of Nursing,0.101229640743228
St Vincent's College,0.10334455537353
Pitzer College,0.109830161669262
Cox College,0.113040832731964
Farmingdale State College,0.113486524519202
Harvey Mudd College,0.114201152484603
Grinnell College,0.114382601490872
Ranken Technical College,0.117600398854944
Virginia Military Institute,0.119557229457676
California Maritime Academy,0.120108693941289
Macalester College,0.121318266485601
Wofford College,0.121661712320351
DePauw University,0.122151697060167
Kenyon College,0.125544136355192
Whitman College,0.126561962345558
Carleton College,0.127083825008225
Brigham Young University-Idaho,0.128419764403488
Vaughn College of Aeronautics and Technology,0.129374962934076
Dunwoody College of Technology,0.13268900463831
Franklin and Marshall College,0.132777774337943
Wabash College,0.135251232394343
Muhlenberg College,0.13598716010985
Pennsylvania College of Health Sciences,0.142060034894623
College of the Holy Cross,0.14215383285179
Wheaton College,0.142168194194389
Susquehanna University,0.14222401308491
Denison University,0.143911754269278
Mercy College of Health Sciences,0.144112422124929
University of Hawaii-West Oahu,0.144700730685788
College of Biblical Studies-Houston,0.1466610805687
Union College,0.146939862539327
CUNY New York City College of Technology,0.149155409525799
Lamar Institute of Technology,0.149535813201826
Linfield College-McMinnville Campus,0.150697013390349
Northwood University-Florida,0.151157858847037
Los Angeles County College of Nursing and Allied Health,0.151263994140371
College of Saint Benedict,0.152483743792385
The Christ College of Nursing and Health Sciences,0.152868390079847
Illinois Wesleyan University,0.154126827498928
Lawrence Memorial Hospital School of Nursing,0.154816210193412
Stonehill College,0.155079391299854
St Olaf College,0.155798345127457
Kalamazoo College,0.15587177775625
University of Minnesota-Morris,0.15598165556987
Centre College,0.158036306522839
Ohio State University-Marion Campus,0.158157067337949
Presbyterian College,0.158863952254836
Bellevue College,0.159368874008146
Gustavus Adolphus College,0.16044958764315
Pittsburgh Institute of Aeronautics,0.16094295528227
Ohio State University-Lima Campus,0.161981422082575
The College of Wooster,0.162068907815986
Augustana College,0.163020257597091
Doane College-Crete,0.16316866284625
Ohio State University-Mansfield Campus,0.163544070399428
Bluefield College,0.163547156317031
Ohio State University-Newark Campus,0.163670153883443
Hope College,0.165820845892276
Northwood University-Texas,0.16620876335685
University of Pittsburgh-Greensburg,0.166443889614867
Mercy College of Ohio,0.166487936734014
Northern Virginia Community College,0.16680660177709
Ursinus College,0.167602960773818
Saint Mary's College,0.168071701456168
University of Minnesota-Crookston,0.16809163743992
Westminster College,0.168779023343043
Saint Anselm College,0.168847093814897
Ripon College,0.170403443823341
