UNITID,Rating
Wellesley College,0.0153846153846153
Amherst College,0.020296759971869
Davidson College,0.0284215079188119
Barnard College,0.0453296344547514
Hamilton College,0.0459565271274967
Haverford College,0.0473325848334709
Harvey Mudd College,0.0540252449333052
Pomona College,0.0590205505288644
Lafayette College,0.0637354824062637
St Paul's School of Nursing-Queens,0.0640300880698847
Bowdoin College,0.0793200088713636
California Maritime Academy,0.0931304026128656
Bates College,0.0938898141045686
St Paul's School of Nursing-Staten Island,0.0951352553418324
Helene Fuld College of Nursing,0.0953395232754208
Colby College,0.105886037173549
Virginia Military Institute,0.113410422484649
College of the Holy Cross,0.115989442853806
St Vincent's College,0.116394462658148
Franklin and Marshall College,0.118761239087838
Union College,0.122841164115964
Lawrence Memorial Hospital School of Nursing,0.129026496538745
Dickinson College,0.133079579238193
Gettysburg College,0.135578567307071
Swarthmore College,0.140000472093733
Baptist Health System School of Health Professions,0.142982063820745
Los Angeles County College of Nursing and Allied Health,0.145369962718991
Stonehill College,0.145789152947736
Muhlenberg College,0.148141272685526
Pittsburgh Institute of Aeronautics,0.151493903964766
Grinnell College,0.157479443740685
Vassar College,0.16037190512051
Illinois Wesleyan University,0.160910157555529
Cochran School of Nursing,0.162567231661227
Ursinus College,0.16819935377808
Saint Anselm College,0.168204828862709
Carleton College,0.171203664080361
Wabash College,0.175320092744619
St Joseph's College of Nursing at St Joseph's Hospital Health Center,0.179167218958291
Susquehanna University,0.181673857625391
Gustavus Adolphus College,0.182584500435899
Linfield College-McMinnville Campus,0.185324890420802
Kalamazoo College,0.187835093178763
Denison University,0.188568616010082
Pitzer College,0.18908795125846
DePauw University,0.191059471857726
Augustana College,0.194982695970441
Washington & Jefferson College,0.196491926952924
Chamberlain College of Nursing-Ohio,0.200848613924668
Hampden-Sydney College,0.203147730297097
Ranken Technical College,0.204145429541915
Wofford College,0.204989695357495
Pennsylvania College of Health Sciences,0.205079994562484
Macalester College,0.205393782049154
Crouse Hospital College of Nursing,0.205941435985295
Kenyon College,0.208798277996214
Whitman College,0.209246640015567
College of Saint Benedict,0.209706942376305
Allegheny College,0.209893385601104
Menlo College,0.213063952519089
Chamberlain College of Nursing-Arizona,0.216795335350205
Samaritan Hospital School of Nursing,0.219356539032684
Wheaton College,0.219756361214319
Cox College,0.221462276903024
Aultman College of Nursing and Health Sciences,0.221896324913315
Southwestern University,0.222283445947868
Vaughn College of Aeronautics and Technology,0.224306152694596
Carolinas College of Health Sciences,0.229664278688205
Centre College,0.230419469504108
Pennsylvania State University-Penn State Altoona,0.230565040194915
University of Pittsburgh-Greensburg,0.230716984631041
St Olaf College,0.232192575572835
Spelman College,0.232473634332371
